item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
National,2021-04-21,1370576612.489796,1265748136.4335227,1302026326.9462912,1326208661.2577844,1345264826.249155,1363985380.489796,1387111694.730437,1408324083.7218077,1438379698.0333006,1477221600.5460696
National,2021-04-22,1366818369.6734695,1258488230.270257,1294020658.823842,1321732757.706764,1344210674.8614,1367424065.6734695,1385836880.485539,1411140969.7218077,1439632592.5230968,1481993053.0766816
National,2021-04-23,1395520864.367347,1280717741.4539306,1322299749.1095564,1348470362.2781925,1374601193.0654814,1397438560.367347,1420417627.5875797,1447427498.3748689,1471529055.543505,1500981975.1991305
National,2021-04-24,1316840960.244898,1196829256.1069918,1245883888.0891483,1275681390.4006412,1297308982.6573184,1316314560.244898,1338880521.8324776,1359083922.0891547,1391542352.4006476,1428704692.4644368
National,2021-04-25,1262246964.0816326,1135115578.637604,1185572117.558536,1218017811.8700292,1244365867.8001754,1263986036.0816326,1282232316.36309,1312296912.3748689,1335473746.6047292,1381023017.6072938
National,2021-04-26,1354166296.9387755,1241862520.3110735,1283453689.1095564,1312352861.2986007,1340204840.1675222,1358636184.9387755,1380433289.710029,1406430100.5789504,1433484284.686362,1471556605.484845
National,2021-04-27,1373635685.0204082,1229892876.2002954,1289131477.2508273,1328235870.7709472,1351961559.6105814,1376155173.0204082,1401113454.5118675,1426950311.351502,1460999280.8716216,1514192765.8405209
National,2021-04-28,1367526777.387755,1226705565.9553978,1273249706.9242966,1311107277.260743,1346562583.0799694,1368017017.387755,1389380763.6955411,1414892453.5147674,1456360007.8512137,1506669272.73848
National,2021-04-29,1361353506.3265307,1243633374.4043772,1283024858.3936844,1316418505.7913551,1338811587.937112,1364844002.3265307,1386564288.715949,1410095094.9433389,1436617642.259377,1478104102.248684
National,2021-04-30,1389566952.2040815,1253763854.0778465,1306259656.7610314,1346166537.138294,1371476982.2228262,1391111016.2040815,1414201430.2669694,1438409607.269869,1463921923.7287645,1514632446.4119494
National,2021-05-01,1311984009.3877552,1187214209.5472343,1238797137.1283784,1266737665.8321717,1287484440.7126224,1312565897.3877552,1334038714.062888,1360115024.9433386,1393133569.647132,1445900181.1466432
National,2021-05-02,1268104460.8979592,1143294109.873765,1185185990.2712355,1214087149.8321717,1240053935.8146632,1263051276.8979592,1290259878.062888,1314863080.0453796,1349350479.6063156,1403724472.003786
National,2021-05-03,1359883866.244898,1233177634.0778465,1284497278.7202148,1314870273.7097225,1337321813.9779284,1360387546.244898,1385446366.5118675,1410136754.7800736,1437967797.769581,1478223378.4119494
National,2021-05-04,1366729938.734694,1234366949.3603723,1284826716.9431534,1315230561.7634664,1338771114.4691288,1368461714.734694,1391776123.000259,1419598147.7059214,1448839180.4446018,1504194176.1090155
National,2021-05-05,1359436796.0,1223513275.0338416,1271419257.1472352,1304325511.110405,1327887907.4079041,1352733372.0,1381679184.6737285,1409585004.9712276,1443897082.9343975,1493117241.047791
National,2021-05-06,1363560849.3469388,1221884845.1154742,1278954319.8002963,1315416978.0083642,1344181342.632394,1365647185.3469388,1388656583.979851,1413819280.6855135,1448869650.8935812,1501788917.5784035
National,2021-05-07,1389610353.3469388,1253571010.6664946,1301133362.4125414,1336026395.8042827,1363747199.9385164,1394723825.3469388,1416374818.755361,1443405642.8079624,1473452404.1997037,1517959072.027383
