item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
National,2021-06-20,1173875739.949294,1082802051.3422072,1114973020.8882816,1137213672.4879024,1156046626.0107026,1173852507.949294,1191563464.5545523,1210401370.0773525,1232952751.7282555,1264803347.9409966
National,2021-06-21,1306910151.654711,1215309131.6925092,1246450562.8045778,1269619616.7198248,1288912594.0678296,1307212655.654711,1325335967.9082587,1344053761.2562633,1366775905.838177,1398292440.9502459
National,2021-06-22,1324931232.149841,1232880320.876498,1265694351.791001,1288022076.0886915,1307442914.7075942,1325050896.149841,1342515056.8741395,1360980108.210991,1384392616.5086813,1416232991.4231842
National,2021-06-23,1293642489.3612578,1200110606.9462094,1232382539.124886,1255783979.758206,1275859351.246614,1294250897.3612578,1312008605.5271835,1331432418.246361,1354529591.5976295,1386825269.827588
National,2021-06-24,1340861121.7671309,1250437293.854571,1281677339.6094153,1304575129.7423992,1323653785.0570598,1341076609.7671309,1358682089.8618174,1377584308.458529,1400000002.5915132,1430736426.3976393
National,2021-06-25,1372362982.4948153,1270813101.903469,1306586436.5930672,1331479434.008129,1352806479.6779227,1372625950.4948153,1392279571.2604258,1413093189.6481686,1438985496.3965633,1474265487.0861616
National,2021-06-26,1251539152.7699473,1150675240.0433164,1186449777.187943,1210208896.0141401,1231457738.7793584,1250899712.7699473,1270705929.4272027,1291557468.1924214,1316357539.0186183,1352609460.163245
National,2021-06-27,1162547698.1031404,1049955126.6471326,1088602105.7374449,1116040312.1428847,1140029836.6945567,1162666442.1031404,1184811764.2296727,1208291564.0633957,1236203351.1867843,1274782158.5847888
National,2021-06-28,1285320941.808557,1172585331.1055956,1212029692.8681686,1240038246.9484692,1263723668.7207072,1285974573.808557,1308002376.9476886,1331670218.0019782,1359225204.0822787,1396927275.178185
National,2021-06-29,1300922669.0729182,1187740809.6718316,1226647720.90782,1254499169.837694,1278641444.8791625,1300531141.0729182,1323355178.6000068,1346973667.5901933,1374562057.2380161,1414912048.4740045
National,2021-06-30,1278527300.643309,1165800203.6583383,1204460032.5336103,1232195276.1074076,1255761136.6478012,1277765436.643309,1300084091.9208684,1324233177.0766466,1352296879.3171105,1391209661.62828
National,2021-07-01,1337510622.0748231,1223192634.773874,1263025847.9784737,1291349347.8929873,1315635974.291167,1337640366.0748231,1359903555.1918123,1383866333.5899923,1411951310.8378391,1451734251.4270544
National,2021-07-02,1362874779.6230206,1243065977.88361,1284117415.5002222,1313853951.1005754,1339339940.2302854,1362420795.6230206,1386223315.0157557,1411483424.1454654,1441214061.0791519,1483110773.3624308
National,2021-07-03,1235634161.1802037,1113102292.4031348,1155298820.9704888,1185927840.858875,1211717343.5464075,1235427121.1802037,1259846162.814,1285831804.7835836,1316092568.0565856,1357944765.9572725
National,2021-07-04,1166104642.3082685,1027548669.2433857,1074521171.6339822,1108359863.8890831,1137839088.450303,1165510242.3082685,1192810199.448285,1222000064.0095053,1256549158.9312727,1303633769.6295617
National,2021-07-05,1288863273.9111211,1167962532.6932654,1208934966.7046742,1239105887.3529196,1265159792.5766075,1288447073.9111211,1312152583.9635835,1337958297.1872714,1368080215.16885,1409444872.5648742
National,2021-07-06,1289453491.2267642,1166821467.5354981,1209398173.33119,1239229644.194237,1264713989.697768,1289162723.2267642,1313358109.473709,1339354110.9772403,1369517360.5069537,1411971607.6359792
National,2021-07-07,1280851082.7971554,1151969833.5289745,1196274458.4753525,1228288814.4606988,1255278060.7946327,1280474338.7971554,1305916211.4663446,1333115657.8002782,1364989677.7856245,1409569486.7320025
National,2021-07-08,1345399112.5363615,1205608295.2052789,1253903955.4682236,1288514924.6774316,1318046625.8638668,1345948352.5363615,1372967329.875523,1402547743.677343,1437364360.271166,1485077694.5853927
National,2021-07-09,1369137513.9819946,1235668689.737866,1281201212.854741,1314546704.130785,1343017333.8594635,1368860033.9819946,1394943736.7711928,1423715267.8332045,1456655449.7759154,1502574244.8927903
National,2021-07-10,1229213278.308409,1095035851.8005505,1140999579.560574,1174136880.5139563,1202491891.1437445,1228929198.308409,1255130916.7551246,1283572508.1028614,1316817612.338295,1363191624.8162673
National,2021-07-11,1176059864.6672428,1026054008.1845375,1077675204.3868897,1114218569.3177307,1146259706.8334975,1175865064.6672428,1205545502.500988,1237351032.016755,1274589943.6142626,1326919262.4832816
National,2021-07-12,1292326974.2188134,1159513414.557812,1205934726.4594872,1238173441.2767675,1265799803.1641195,1291395902.2188134,1317649287.2222252,1346636193.1095774,1379841300.542242,1425497408.5464814
National,2021-07-13,1297619549.4831743,1165874579.33027,1211029332.2626212,1243637730.6150067,1271434865.8776534,1297397373.4831743,1323676012.3707469,1351240950.3000603,1383793414.0883431,1429228130.9181304
National,2021-07-14,1284088640.3356168,1140349812.1153145,1189906264.3872373,1225297173.3654313,1256014846.1552615,1283988936.3356168,1312210035.1313567,1342849507.3058023,1378053051.5660477,1428388137.8892527
National,2021-07-15,1352506780.4337974,1200551800.2221885,1253215669.8647273,1290726950.429576,1322512924.7090712,1352402316.4337974,1382796392.8764725,1414781140.4893012,1452261276.4387653,1504233125.3633552
National,2021-07-16,1365102824.9563537,1219384009.9611695,1269890900.252364,1305894425.6935759,1336183231.5066633,1364798856.9563537,1393312426.4060442,1423976314.8857985,1460316026.993677,1510273178.6182048
National,2021-07-17,1220487626.6161013,1072987124.2095815,1124076544.9923205,1160773770.0238986,1191615523.1621785,1220416642.6161013,1249982610.0700235,1280743099.2083037,1316702919.521933,1366868413.7405696
National,2021-07-18,1177355808.0518582,1012515188.7250282,1069473814.0899339,1109710408.2558465,1144551115.5759869,1177395080.0518582,1210530164.5277295,1245415746.5145366,1285597960.9881415,1341826480.096637
National,2021-07-19,1285732891.962403,1136352062.2190895,1188034022.3089068,1225137702.4504802,1256162100.744868,1285535195.962403,1315390469.2312202,1347142243.525608,1383911996.282566,1434727775.03905
