item_id,timestamp,ATHOME,NOTATHOME,TOTALTRIPS,LESS1mi,1-3mi,3-5mi,5-10mi,10-25mi,25-50mi,50-100mi,100-250mi,250-500mi,MORE500mi,week,month,isHoliday,isWeekend
National,2021-04-21,69997656,258241867,1364989134,366716951,322213528,167406420,215716663,204204428,62033190,18271865,6392387,1256855,776847,16,4,0,0
National,2021-04-22,73981410,254258113,1345537143,363002477,322814476,164339096,208748250,195993612,60939640,19249719,7878122,1605639,966112,16,4,0,0
National,2021-04-23,71030240,257209283,1368560687,365832906,326509271,167517305,212665048,199633559,62186120,21218968,10120442,1893370,983698,16,4,0,0
National,2021-04-24,73929485,254310038,1254390925,335262594,299366947,154461652,193855292,177649340,58998992,23144265,9308672,1475241,867930,16,4,0,1
National,2021-04-25,78997796,249241727,1092683376,293950568,256752540,131216105,167645292,155075361,51717177,22080233,11221309,1982194,1042597,17,4,0,1
National,2021-04-26,74344323,253895200,1343107281,372697205,319620103,163196711,206771195,193646140,59410198,18296128,7019779,1453231,996591,17,4,0,0
National,2021-04-27,74416017,253823506,1314737030,346700533,315469869,161046968,206874479,196547468,60928879,18195000,6687755,1362775,923304,17,4,0,0
National,2021-04-28,73765441,254474082,1344393790,360228308,322729203,165198004,209601321,197757597,61225795,18479797,6869302,1419721,884742,17,4,0,0
National,2021-04-29,72933047,255306476,1404083275,393955747,332691906,169722327,215472731,201831817,61770853,18931111,7359409,1477570,869804,17,4,0,0
National,2021-04-30,71564822,256674701,1378823787,367766572,328703893,168961519,214805154,201696932,62762677,21260616,9997891,1876616,991917,17,4,0,0
National,2021-05-01,74669626,253569897,1255629358,333291265,299396713,154706645,194355159,178575094,59575079,23589391,9676086,1554720,909206,17,5,0,1
National,2021-05-02,78783131,249456392,1115713325,302573379,263677959,134191006,170451461,156345552,51870139,22185085,11365448,2002070,1051226,18,5,0,1
National,2021-05-03,73830993,254408530,1299510463,364468582,311151716,156419339,197527845,185358796,57661804,17710548,6856793,1416791,938249,18,5,0,0
National,2021-05-04,74163225,254076298,1325646898,350880086,320048089,163096534,208012697,196161762,60406576,18087460,6653256,1374504,925934,18,5,0,0
National,2021-05-05,74344072,253895451,1397570801,371464075,336260999,172371926,220062196,206764142,62771505,18737794,6837453,1403259,897452,18,5,0,0
National,2021-05-06,73270901,254968622,1416571856,404193804,333050732,170206395,215553617,202097230,62300054,19196419,7490437,1528381,954787,18,5,0,0
National,2021-05-07,71485323,256754200,1408046701,378933407,336463640,172260218,218302626,204040753,63358189,21566113,10235819,1889616,996320,18,5,0,0
National,2021-05-08,74251876,253987647,1266940633,341403582,301086491,155009307,194682191,178979087,59779268,23810828,9768814,1528812,892253,18,5,0,1
National,2021-05-09,78429756,249809767,1123232566,306723039,264834576,134437588,171218854,157144190,52152703,22277196,11353204,2012932,1078284,19,5,0,1
National,2021-05-10,74610211,253629312,1393048816,400268196,332416198,165715466,210086117,196650474,60410440,18320060,6881829,1380584,919452,19,5,0,0
National,2021-05-11,73042352,255197171,1356125732,364919553,326839900,166321724,211239477,198007111,60923567,18479366,6968112,1452660,974262,19,5,0,0
National,2021-05-12,73374752,254864771,1410348120,396847748,336033156,170161033,215839441,201832248,61706457,18597456,6916454,1441435,972692,19,5,0,0
National,2021-05-13,73661747,254577776,1357580929,364166976,322979609,166256983,212738284,200330998,62065029,19147014,7434369,1517340,944327,19,5,0,0
National,2021-05-14,71516573,256722950,1422212822,386428674,339809178,173127156,219548885,204846282,63583969,21650225,10268538,1920460,1029455,19,5,0,0
National,2021-05-15,74655238,253584285,1298284031,352602479,309773025,158627279,198944905,181736042,60421354,23930798,9768341,1552050,927758,19,5,0,1
National,2021-05-16,78810266,249429257,1114472239,303771753,262194491,133460113,169810478,156071149,52016691,22409557,11561044,2052181,1124782,20,5,0,1
National,2021-05-17,76388927,251850596,1363123733,376907848,325335907,164163635,209976107,198271841,61151336,18286018,6739276,1371426,920339,20,5,0,0
National,2021-05-18,73279749,254959774,1316162712,390453293,310026400,154416242,194858444,183073149,56992611,17378270,6595069,1378285,990949,20,5,0,0
National,2021-05-19,73869986,254369537,1407012901,379908227,340210363,172340507,218948003,205075253,62416667,18731151,6950098,1443091,989541,20,5,0,0
